iter,loss,mask-enc,mask-pred,time (ms)
168,0.00139,97.00000,24.00000,84
169,0.00132,116.00000,20.00000,90
170,0.00096,116.00000,20.00000,92
171,0.00150,112.00000,20.00000,88
172,0.00094,115.00000,20.00000,93
173,0.00109,114.00000,20.00000,91
174,0.00260,97.00000,24.00000,81
175,0.00373,100.00000,24.00000,84
176,0.00110,133.00000,16.00000,100
177,0.00111,114.00000,20.00000,106
178,0.00097,119.00000,20.00000,95
179,0.00092,111.00000,20.00000,91
180,0.00078,116.00000,20.00000,91
181,0.00077,113.00000,20.00000,93
182,0.00072,114.00000,20.00000,91
183,0.00075,115.00000,20.00000,93
184,0.00066,94.00000,24.00000,85
185,0.00067,115.00000,20.00000,92
186,0.00066,116.00000,20.00000,92
187,0.00071,96.00000,24.00000,80
188,0.00069,111.00000,20.00000,92
189,0.00064,113.00000,20.00000,91
190,0.00066,111.00000,20.00000,89
191,0.00061,117.00000,20.00000,93
192,0.00060,117.00000,20.00000,92
193,0.00248,90.00000,24.00000,91
194,0.00083,93.00000,24.00000,92
195,0.00079,110.00000,20.00000,96
196,0.00137,112.00000,20.00000,86
197,0.00070,113.00000,20.00000,91
198,0.00059,115.00000,20.00000,91
199,0.00083,112.00000,20.00000,89
200,0.00232,111.00000,20.00000,90
201,0.00073,112.00000,20.00000,88
202,0.00072,116.00000,20.00000,92
203,0.00227,113.00000,20.00000,90
204,0.00093,115.00000,20.00000,92
205,0.00156,109.00000,20.00000,90
206,0.00338,99.00000,24.00000,83
207,0.00272,111.00000,20.00000,91
208,0.00118,94.00000,24.00000,82
209,0.00066,91.00000,24.00000,94
210,0.00279,115.00000,20.00000,102
211,0.00053,110.00000,20.00000,98
212,0.00176,116.00000,20.00000,91
213,0.00069,97.00000,24.00000,87
214,0.00083,112.00000,20.00000,89
215,0.00054,113.00000,20.00000,92
216,0.00060,117.00000,20.00000,93
217,0.00044,111.00000,20.00000,91
218,0.00097,114.00000,20.00000,91
219,0.00053,112.00000,20.00000,89
220,0.00052,112.00000,20.00000,89
221,0.00081,116.00000,20.00000,92
222,0.00055,99.00000,24.00000,82
223,0.00105,117.00000,20.00000,94
224,0.00050,116.00000,20.00000,90
225,0.00200,98.00000,24.00000,98
226,0.00057,112.00000,20.00000,102
227,0.00155,114.00000,20.00000,98
228,0.00076,112.00000,20.00000,88
229,0.00082,93.00000,24.00000,92
230,0.00173,113.00000,20.00000,90
231,0.00128,118.00000,20.00000,93
232,0.00107,110.00000,20.00000,89
233,0.00033,117.00000,20.00000,94
234,0.00107,132.00000,16.00000,99
235,0.00046,92.00000,24.00000,80
236,0.00033,114.00000,20.00000,89
237,0.00330,103.00000,24.00000,86
238,0.00071,90.00000,24.00000,80
239,0.00071,115.00000,20.00000,93
240,0.00052,113.00000,20.00000,92
241,0.00032,115.00000,20.00000,107
242,0.00036,117.00000,20.00000,93
243,0.00029,114.00000,20.00000,92
244,0.00107,106.00000,20.00000,88
245,0.00072,115.00000,20.00000,92
246,0.00364,113.00000,20.00000,92
247,0.00062,98.00000,24.00000,86
248,0.00145,110.00000,20.00000,91
249,0.00128,116.00000,20.00000,125
250,0.00202,134.00000,16.00000,102
251,0.00111,103.00000,24.00000,96
252,0.00026,112.00000,20.00000,95
253,0.00159,113.00000,20.00000,94
254,0.00047,114.00000,20.00000,94
255,0.00033,110.00000,20.00000,90
256,0.00081,96.00000,24.00000,95
257,0.00126,117.00000,20.00000,105
258,0.00063,113.00000,20.00000,90
259,0.00037,112.00000,20.00000,89
260,0.00128,118.00000,20.00000,91
261,0.00174,111.00000,20.00000,91
262,0.00057,114.00000,20.00000,92
263,0.00045,117.00000,20.00000,94
264,0.00053,98.00000,24.00000,85
265,0.00055,96.00000,24.00000,85
266,0.00032,111.00000,20.00000,91
267,0.00087,114.00000,20.00000,91
268,0.00027,118.00000,20.00000,93
269,0.00094,112.00000,20.00000,90
270,0.00062,113.00000,20.00000,93
271,0.00132,115.00000,20.00000,92
272,0.00128,113.00000,20.00000,92
273,0.00082,115.00000,20.00000,107
274,0.00022,109.00000,20.00000,92
275,0.00024,99.00000,24.00000,85
276,0.00035,130.00000,16.00000,97
277,0.00021,114.00000,20.00000,88
278,0.00132,115.00000,20.00000,90
279,0.00021,113.00000,20.00000,90
280,0.00020,98.00000,24.00000,83
281,0.00073,110.00000,20.00000,88
282,0.00020,132.00000,16.00000,97
283,0.00137,133.00000,16.00000,99
284,0.00019,95.00000,24.00000,81
285,0.00026,113.00000,20.00000,90
286,0.00029,111.00000,20.00000,89
287,0.00026,107.00000,20.00000,84
288,0.00023,95.00000,24.00000,80
289,0.00033,109.00000,20.00000,132
290,0.00084,113.00000,20.00000,115
291,0.00026,93.00000,24.00000,81
292,0.00089,130.00000,16.00000,101
293,0.00020,107.00000,20.00000,88
294,0.00021,102.00000,24.00000,85
295,0.00024,116.00000,20.00000,89
296,0.00027,110.00000,20.00000,90
297,0.00050,94.00000,24.00000,82
298,0.00019,110.00000,20.00000,90
299,0.00018,118.00000,20.00000,92
300,0.00017,114.00000,20.00000,90
301,0.00075,110.00000,20.00000,88
302,0.00059,132.00000,16.00000,98
303,0.00207,101.00000,24.00000,83
304,0.00019,110.00000,20.00000,86
305,0.00030,113.00000,20.00000,108
306,0.00080,108.00000,20.00000,97
307,0.00087,118.00000,20.00000,97
308,0.00021,135.00000,16.00000,102
309,0.00037,100.00000,24.00000,85
310,0.00227,113.00000,20.00000,90
311,0.00039,108.00000,20.00000,87
312,0.00049,109.00000,20.00000,90
313,0.00052,112.00000,20.00000,88
314,0.00015,109.00000,20.00000,90
315,0.00016,116.00000,20.00000,90
316,0.00019,93.00000,24.00000,82
317,0.00030,110.00000,20.00000,89
318,0.00015,90.00000,24.00000,79
