name,ra,dec,zspec
HSCJ0846+0446,131.6978,4.7679,0.241
HSCJ0852+0025,133.1269,0.4203,
HSCJ0855+0024,133.9344,0.4105,
HSCJ0856+0125,134.0864,1.4174,0.719
HSCJ0904+0125,136.018,1.4208,
HSCJ0907+0057,136.9767,0.9587,
HSCJ0908+0119,137.0261,1.3319,0.659
HSCJ0912+0415,138.1252,4.2654,0.453
HSCJ0913+0352,138.304,3.8705,0.456
HSCJ0922+0259,140.6465,2.995,
HSCJ0925+0226,141.2609,2.4362,0.39
HSCJ0926+0500,141.6992,5.0005,0.462
HSCJ0935+0047,143.8137,0.7959,0.358
HSCJ0947-0111,146.8682,-1.1925,0.239
HSCJ0951-0014,147.9171,-0.2391,0.421
HSCJ0959+0101,149.8211,1.0329,0.446
HSCJ0959+0219,149.9833,2.3169,
HSCJ1005-0100,151.3869,-1.0078,0.42
HSCJ1005-0103,151.4756,-1.066,
HSCJ1007-0123,151.8009,-1.3879,
HSCJ1018-0121,154.6972,-1.3591,0.388
HSCJ1039-0216,159.7807,-2.275,
HSCJ1139-0218,174.8726,-2.3071,
HSCJ1143-0047,175.7553,-0.7867,
HSCJ1143-0144,175.8743,-1.7418,0.106
HSCJ1143+0013,175.9262,0.2278,0.65
HSCJ1147+0119,176.7731,1.3192,0.636
HSCJ1147-0013,176.9383,-0.2307,
HSCJ1153-0144,178.3794,-1.7363,
HSCJ1155+0053,178.8366,0.8843,0.283
HSCJ1156-0019,179.0414,-0.3257,0.26
HSCJ1156-0021,179.0451,-0.3501,0.256
HSCJ1156-0101,179.0548,-1.0339,
HSCJ1156-0037,179.2234,-0.6316,
HSCJ1201+0126,180.2978,1.4433,
HSCJ1201+0025,180.4603,0.4222,
HSCJ1202+0039,180.737,0.6584,0.689
HSCJ1207-0103,181.9302,-1.0654,0.18
HSCJ1208+0128,182.2052,1.4791,
HSCJ1208-0103,182.2306,-1.0512,0.662
HSCJ1210-0112,182.5947,-1.2001,0.574
HSCJ1211+0020,182.9875,0.3482,
HSCJ1222-0127,185.6074,-1.4485,0.295
HSCJ1223-0210,185.8964,-2.1754,0.439
HSCJ1231+0023,187.781,0.3921,0.591
HSCJ1231+0301,187.8949,3.0313,0.461
HSCJ1233-0144,188.2623,-1.7352,
HSCJ1233+0131,188.2803,1.53,0.425
HSCJ1234+0007,188.644,0.119,
HSCJ1241+0347,190.4916,3.7893,0.414
HSCJ1244+0413,191.2226,4.2208,0.322
HSCJ1249-0118,192.3172,-1.3085,
HSCJ1253+0437,193.4192,4.6181,0.243
HSCJ1255+0102,193.8525,1.0358,0.374
HSCJ1308-0047,197.1898,-0.7886,0.188
HSCJ1311-0120,197.8737,-1.341,0.174
HSCJ1327+4305,201.8703,43.0833,0.374
HSCJ1337+0112,204.2834,1.2176,0.327
HSCJ1340+4410,205.1241,44.1676,0.546
HSCJ1343+4155,205.8869,41.9175,0.418
HSCJ1349-0019,207.2637,-0.3298,
HSCJ1400+0024,210.088,0.4055,
HSCJ1407-0028,211.9735,-0.4715,0.471
HSCJ1410-0109,212.7087,-1.1607,
HSCJ1414-0136,213.5874,-1.6128,0.511
HSCJ1418+0044,214.5233,0.7431,
HSCJ1419+0020,214.7852,0.3469,0.339
HSCJ1420+0057,215.0694,0.9547,0.507
HSCJ1420+0058,215.0743,0.9755,0.33
HSCJ1420+0007,215.2019,0.1258,0.545
HSCJ1421-0024,215.4578,-0.4009,
HSCJ1423-0026,215.9747,-0.4345,0.636
HSCJ1424+0042,216.2077,0.7004,0.477
HSCJ1427+0043,216.7776,0.7207,0.295
HSCJ1428+0043,217.0751,0.7252,0.335
HSCJ1435-0106,218.8296,-1.1101,
HSCJ1436+4329,219.0464,43.4891,0.386
HSCJ1437-0002,219.3929,-0.0488,0.627
HSCJ1441-0018,220.3623,-0.3164,0.287
HSCJ1441-0053,220.3862,-0.8996,
HSCJ1443+0102,220.7898,1.0362,0.529
HSCJ1444-0051,221.1198,-0.8617,0.575
HSCJ1449-0002,222.4072,-0.0452,0.529
HSCJ1450+0055,222.6666,0.9279,0.421
HSCJ1458-0024,224.6513,-0.4,0.595
HSCJ1459+4410,224.879,44.1802,0.323
HSCJ1459-0055,224.9882,-0.923,0.939
HSCJ1507+4244,226.8466,42.734,0.218
HSCJ1508+4256,227.1544,42.9415,
HSCJ1510+4255,227.6903,42.9324,
HSCJ1513+4333,228.4882,43.5582,0.237
HSCJ1522+4235,230.6975,42.5944,0.379
HSCJ1525+4227,231.2877,42.4642,
HSCJ1525+4409,231.4855,44.1613,0.388
HSCJ1559+4232,239.8367,42.5423,
HSCJ1602+4346,240.599,43.7726,
HSCJ1602+4335,240.711,43.5849,0.414
HSCJ1618+4345,244.5774,43.7574,0.899
HSCJ1618+5430,244.5857,54.5052,
HSCJ1620+4318,245.1101,43.3104,
HSCJ1621+4245,245.3623,42.7616,0.138
HSCJ1629+4349,247.4261,43.828,0.528
HSCJ1631+4234,247.7866,42.5781,
HSCJ1632+4246,248.2406,42.7699,0.228
HSCJ2202+0234,330.7369,2.5761,0.482
HSCJ2203+0426,330.9438,4.4459,0.527
HSCJ2205+0147,331.2789,1.7844,0.476
HSCJ2205+0210,331.3976,2.176,0.252
HSCJ2206+0411,331.6751,4.1919,0.537
HSCJ2207+0224,331.8298,2.4046,0.418
HSCJ2208+0206,332.2499,2.1152,
HSCJ2209-0034,332.4829,-0.5764,0.716
HSCJ2212-0008,333.0476,-0.1389,0.365
HSCJ2212+0650,333.1505,6.8415,0.399
HSCJ2213-0018,333.277,-0.3084,0.408
HSCJ2213+0354,333.3342,3.91,0.67
HSCJ2213+0048,333.3826,0.81,
HSCJ2213+0056,333.455,0.9475,
HSCJ2214+0110,333.5787,1.1772,0.566
HSCJ2215+0435,333.9658,4.5838,
HSCJ2217-0038,334.3723,-0.6436,
HSCJ2221-0053,335.4324,-0.8842,0.334
HSCJ2226-0034,336.6597,-0.5805,0.404
HSCJ2230-0018,337.5731,-0.3125,0.406
HSCJ2232+0057,338.0466,0.9501,0.401
HSCJ2232-0025,338.1611,-0.4261,
HSCJ2233-0104,338.3201,-1.0694,
HSCJ2233-0019,338.3331,-0.3264,0.398
HSCJ2235-0135,338.8841,-1.5944,
HSCJ2235+0003,338.9535,0.0509,0.735
HSCJ2236+0616,339.0586,6.2723,0.35
HSCJ2239+0235,339.8946,2.5853,
HSCJ2243-0004,340.999,-0.0803,0.69
HSCJ2246+0415,341.6871,4.2637,
HSCJ2248+0147,342.2457,1.7865,0.36
HSCJ2258+0031,344.5655,0.5248,0.256
HSCJ2313-0104,348.477,-1.0802,0.531
HSCJ2319+0038,349.9726,0.6369,
HSCJ2328+0005,352.2238,0.0937,0.443
HSCJ2329-0120,352.4494,-1.3466,0.537
HSCJ2330+0133,352.5252,1.5512,0.444
HSCJ2330+0158,352.6815,1.9702,
HSCJ2332-0003,353.1491,-0.0511,0.51
HSCJ2337+0016,354.4175,0.2781,0.272
HSCJ2346-0010,356.5148,-0.1829,0.261
HSCJ2351+0037,357.8388,0.6169,0.277
HSCJ2359+0208,359.8898,2.1399,0.43
